image_id,healthy,multiple_diseases,rust,scab
Train_0,0,0,0,1
Train_1,0,1,0,0
Train_2,1,0,0,0
Train_3,0,0,1,0
Train_4,1,0,0,0
Train_5,1,0,0,0
Train_6,0,1,0,0
Train_7,0,0,0,1
Train_8,0,0,0,1
Train_9,1,0,0,0
Train_10,0,0,1,0
Train_11,0,0,0,1
Train_12,0,0,0,1
Train_13,1,0,0,0
Train_14,0,0,1,0
Train_15,0,0,1,0
Train_16,0,0,0,1
Train_17,0,0,0,1
Train_18,1,0,0,0
Train_19,0,0,0,1
Train_20,0,0,0,1
Train_21,0,0,1,0
Train_22,0,0,0,1
Train_23,0,0,1,0
Train_24,1,0,0,0
Train_25,0,1,0,0
Train_26,0,0,1,0
Train_27,0,0,0,1
Train_28,0,0,0,1
Train_29,0,0,0,1
Train_30,0,0,0,1
Train_31,0,0,1,0
Train_32,0,0,0,1
Train_33,1,0,0,0
Train_34,0,0,1,0
Train_35,0,0,1,0
Train_36,0,1,0,0
Train_37,0,0,1,0
Train_38,0,0,1,0
Train_39,0,0,1,0
Train_40,0,0,0,1
Train_41,0,0,0,1
Train_42,0,0,0,1
Train_43,1,0,0,0
Train_44,0,0,0,1
Train_45,0,0,1,0
Train_46,1,0,0,0
Train_47,0,0,1,0
Train_48,0,0,0,1
Train_49,0,0,0,1
Train_50,0,0,1,0
Train_51,0,0,0,1
Train_52,0,0,0,1
Train_53,1,0,0,0
Train_54,1,0,0,0
Train_55,1,0,0,0
Train_56,0,0,0,1
Train_57,0,0,1,0
Train_58,0,0,1,0
Train_59,0,0,1,0
Train_60,0,0,1,0
Train_61,0,0,0,1
Train_62,0,1,0,0
Train_63,1,0,0,0
Train_64,0,0,1,0
Train_65,0,0,0,1
Train_66,1,0,0,0
Train_67,1,0,0,0
Train_68,1,0,0,0
Train_69,0,0,1,0
Train_70,1,0,0,0
Train_71,0,0,1,0
Train_72,1,0,0,0
Train_73,0,0,0,1
Train_74,0,1,0,0
Train_75,0,0,1,0
Train_76,0,0,0,1
Train_77,1,0,0,0
Train_78,0,0,0,1
Train_79,0,0,0,1
Train_80,0,0,0,1
Train_81,0,0,1,0
Train_82,0,0,1,0
Train_83,0,0,0,1
Train_84,0,0,0,1
Train_85,0,0,0,1
Train_86,1,0,0,0
Train_87,0,0,1,0
Train_88,1,0,0,0
Train_89,0,0,1,0
Train_90,1,0,0,0
Train_91,0,0,0,1
Train_92,0,0,1,0
Train_93,0,0,1,0
Train_94,1,0,0,0
Train_95,0,1,0,0
