project_id,soil_type,groundwater_level,ucs,cutter_speed,thrust_force,face_pressure,settlement,downtime,alarms,risk_level,action_recommended
1,sand,4.06,19.02,6.39,2197.32,131.2,3.12,0.17,4,High,Reinforce & Reduce Speed
2,clay,6.21,14.19,2.12,2939.82,266.49,4.25,0.55,4,High,Reinforce & Reduce Speed
3,clay,6.37,12.27,2.04,1046.12,204.95,8.0,0.14,3,High,Reinforce & Reduce Speed
4,sand,3.98,9.18,6.71,1399.35,202.85,11.85,0.14,2,Medium,Adjust Pressure
5,clay,6.96,9.06,2.08,2884.4,212.66,7.71,0.05,1,Low,Continue Operation
6,silt,7.0,8.86,2.73,1990.35,106.88,18.19,0.78,3,High,Reinforce & Reduce Speed
7,gravel,3.46,10.45,5.28,1369.71,293.92,15.5,2.82,3,High,Reinforce & Reduce Speed
8,sand,6.18,18.45,2.53,1391.97,109.05,6.51,1.17,1,Medium,Adjust Pressure
9,silt,5.63,11.78,7.79,2214.07,155.2,5.93,0.5,0,Low,Continue Operation
10,sand,9.88,15.47,3.19,1011.04,263.09,14.14,2.19,0,High,Reinforce & Reduce Speed
11,gravel,6.26,18.53,5.91,2829.92,270.01,8.99,0.29,4,High,Reinforce & Reduce Speed
12,silt,7.43,12.79,7.32,1944.43,123.92,14.26,2.28,1,High,Reinforce & Reduce Speed
13,rock,2.74,5.2,2.24,2421.33,122.18,8.79,0.61,0,Medium,Adjust Pressure
14,silt,3.49,10.22,7.45,1498.58,182.08,15.11,0.69,2,High,Reinforce & Reduce Speed
15,silt,7.1,17.62,5.75,1591.27,121.1,9.13,0.66,3,High,Reinforce & Reduce Speed
16,silt,8.98,10.83,6.84,2792.18,163.6,2.2,0.68,0,Low,Continue Operation
17,gravel,8.27,17.23,2.04,2021.49,183.48,4.44,0.36,3,High,Reinforce & Reduce Speed
18,clay,2.82,3.45,3.31,2116.2,180.77,1.3,0.76,3,High,Reinforce & Reduce Speed
19,clay,2.89,10.0,3.81,1569.68,107.38,12.19,1.51,4,High,Reinforce & Reduce Speed
20,sand,3.78,12.72,6.08,2061.87,189.56,11.06,1.78,2,High,Reinforce & Reduce Speed
21,rock,4.01,4.92,6.82,1940.6,296.68,7.98,2.45,0,High,Reinforce & Reduce Speed
22,clay,1.93,10.21,6.17,2716.72,165.19,4.4,2.13,2,High,Reinforce & Reduce Speed
23,silt,3.81,2.01,7.64,1795.14,203.55,16.75,2.03,0,High,Reinforce & Reduce Speed
24,rock,1.58,18.5,7.26,1515.88,232.0,16.34,1.67,3,High,Reinforce & Reduce Speed
25,sand,2.98,19.93,7.79,2116.59,276.53,3.77,0.84,2,Medium,Adjust Pressure
26,rock,7.4,17.95,7.32,2559.75,228.41,1.68,0.48,3,High,Reinforce & Reduce Speed
27,silt,6.02,7.51,7.64,2947.33,156.78,6.11,1.46,2,Medium,Adjust Pressure
28,silt,6.69,4.56,6.27,1474.5,165.08,14.93,1.95,2,High,Reinforce & Reduce Speed
29,clay,6.75,11.41,2.56,1735.43,153.04,4.88,2.92,4,High,Reinforce & Reduce Speed
30,rock,5.12,18.13,4.61,1700.16,229.02,13.38,2.59,3,High,Reinforce & Reduce Speed
31,sand,7.36,5.69,2.15,2290.94,135.42,18.81,2.86,4,High,Reinforce & Reduce Speed
32,clay,8.89,14.98,7.72,1661.5,210.55,11.45,2.94,3,High,Reinforce & Reduce Speed
33,silt,3.3,7.76,7.11,1633.84,133.9,11.14,2.81,1,High,Reinforce & Reduce Speed
34,rock,9.34,1.5,3.25,2342.29,171.73,5.08,0.89,1,Low,Continue Operation
35,silt,7.54,13.97,6.21,1718.98,158.72,16.19,2.43,0,High,Reinforce & Reduce Speed
36,sand,6.31,1.72,2.03,2255.79,138.85,1.42,1.19,3,High,Reinforce & Reduce Speed
37,silt,8.92,0.65,5.47,1876.95,234.41,6.56,0.47,4,High,Reinforce & Reduce Speed
38,clay,8.47,17.22,3.5,1077.67,160.65,10.74,0.98,4,High,Reinforce & Reduce Speed
39,gravel,3.08,19.31,4.74,2684.05,138.88,8.23,2.1,3,High,Reinforce & Reduce Speed
40,rock,1.76,19.39,6.29,1082.14,179.76,8.67,2.23,1,High,Reinforce & Reduce Speed
41,gravel,0.74,19.26,7.02,2391.95,181.79,3.47,0.47,1,Low,Continue Operation
42,silt,2.78,1.97,3.1,2869.23,227.65,10.33,1.97,4,High,Reinforce & Reduce Speed
43,rock,6.31,8.45,3.49,1711.95,251.57,0.29,0.35,4,High,Reinforce & Reduce Speed
44,gravel,1.39,6.3,7.88,1350.66,103.43,15.27,2.42,3,High,Reinforce & Reduce Speed
45,clay,2.15,8.73,4.39,2231.7,227.02,0.91,1.12,1,Medium,Adjust Pressure
46,silt,9.37,10.07,5.24,2367.93,223.17,18.88,2.83,3,High,Reinforce & Reduce Speed
47,gravel,6.06,18.81,5.45,1776.34,228.66,9.17,1.64,4,High,Reinforce & Reduce Speed
48,gravel,6.45,16.43,5.91,1413.37,154.79,4.29,1.13,4,High,Reinforce & Reduce Speed
49,clay,1.4,13.69,2.43,1637.95,268.98,0.47,2.44,0,High,Reinforce & Reduce Speed
50,silt,5.21,13.89,4.09,2873.3,107.84,8.36,2.9,3,High,Reinforce & Reduce Speed
51,gravel,2.19,15.04,6.84,2981.01,182.52,7.44,2.33,4,High,Reinforce & Reduce Speed
52,gravel,2.77,13.63,6.44,1476.47,175.55,10.69,1.49,0,Medium,Adjust Pressure
53,sand,3.54,17.92,4.34,1021.68,281.08,1.83,0.96,3,High,Reinforce & Reduce Speed
54,gravel,5.95,12.67,4.69,1586.42,165.73,13.45,2.26,0,High,Reinforce & Reduce Speed
55,clay,1.58,18.63,7.85,2991.86,111.17,14.74,1.64,2,High,Reinforce & Reduce Speed
56,sand,1.61,2.95,6.57,2236.44,120.22,1.68,2.1,1,High,Reinforce & Reduce Speed
57,silt,4.27,17.85,2.88,2026.65,146.65,11.63,2.59,3,High,Reinforce & Reduce Speed
58,rock,2.75,18.16,5.55,1700.44,241.64,9.63,1.13,2,Medium,Adjust Pressure
59,clay,2.86,6.67,4.61,1507.36,181.04,11.43,2.22,4,High,Reinforce & Reduce Speed
60,clay,8.32,14.91,6.09,1475.01,180.04,9.55,0.25,0,Medium,Adjust Pressure
61,clay,2.62,19.27,2.07,2939.76,108.63,17.82,1.58,2,High,Reinforce & Reduce Speed
62,gravel,9.23,5.13,6.17,1150.87,133.24,4.34,0.88,0,Low,Continue Operation
63,clay,6.46,11.73,7.41,1090.89,156.19,19.01,2.67,3,High,Reinforce & Reduce Speed
64,rock,1.51,6.78,3.02,2293.7,177.65,4.59,0.8,4,High,Reinforce & Reduce Speed
65,clay,9.76,19.73,6.19,2072.19,161.91,16.28,2.05,4,High,Reinforce & Reduce Speed
66,silt,1.77,1.62,7.64,1833.28,216.23,18.38,0.25,1,High,Reinforce & Reduce Speed
67,clay,5.74,3.38,4.47,2555.2,196.07,19.71,1.13,1,High,Reinforce & Reduce Speed
68,sand,4.12,19.4,7.05,2676.66,193.74,8.3,0.82,3,High,Reinforce & Reduce Speed
69,rock,8.22,19.99,7.98,2110.86,253.8,18.9,2.55,0,High,Reinforce & Reduce Speed
70,rock,2.79,4.18,3.51,1549.46,141.45,17.56,2.27,1,High,Reinforce & Reduce Speed
71,clay,3.9,2.36,6.03,2040.62,254.46,10.4,2.56,3,High,Reinforce & Reduce Speed
72,silt,5.83,17.55,4.42,1268.03,105.76,15.1,1.86,1,High,Reinforce & Reduce Speed
73,silt,8.15,18.07,5.7,2960.93,221.62,12.73,1.66,2,High,Reinforce & Reduce Speed
74,sand,9.09,7.03,5.08,2567.31,179.31,12.44,2.59,4,High,Reinforce & Reduce Speed
75,sand,8.07,9.24,7.05,2537.84,113.25,0.92,1.86,1,High,Reinforce & Reduce Speed
76,silt,3.62,12.7,3.44,1151.73,125.78,2.56,0.46,3,High,Reinforce & Reduce Speed
77,clay,2.23,6.98,7.38,1947.92,233.51,3.45,0.58,2,Medium,Adjust Pressure
78,silt,8.31,6.97,4.09,1063.61,209.74,10.69,1.07,1,Medium,Adjust Pressure
79,sand,1.72,6.67,3.93,1184.58,196.23,13.76,1.53,2,High,Reinforce & Reduce Speed
80,gravel,9.25,1.32,3.66,2612.4,249.65,3.69,0.63,1,Low,Continue Operation
81,rock,7.72,10.67,6.32,1124.68,129.55,2.66,2.06,2,High,Reinforce & Reduce Speed
82,gravel,5.56,2.23,4.68,2065.23,148.49,5.38,1.13,1,Medium,Adjust Pressure
83,sand,5.86,16.83,2.54,2070.67,146.64,6.86,1.42,1,Medium,Adjust Pressure
84,rock,8.0,10.02,2.52,2074.21,217.37,14.91,1.29,2,Medium,Adjust Pressure
85,rock,4.1,6.82,7.4,2215.11,148.87,9.96,0.99,0,Medium,Adjust Pressure
86,sand,2.75,2.13,2.92,1491.92,132.14,3.73,0.86,0,Low,Continue Operation
87,silt,1.26,10.54,4.46,2964.76,122.41,7.96,2.91,3,High,Reinforce & Reduce Speed
88,clay,0.55,19.5,4.94,2445.79,264.17,14.37,1.61,1,High,Reinforce & Reduce Speed
