iter	Passed	Remaining
0	18	18510
1	30	15425
2	41	13796
3	54	13656
4	69	13834
5	97	16230
6	111	15805
7	127	15805
8	141	15575
9	151	15001
10	165	14882
11	174	14375
12	188	14277
13	201	14212
14	214	14103
15	230	14152
16	253	14676
17	276	15093
18	293	15174
19	314	15421
20	328	15294
21	342	15243
22	376	16012
23	393	16002
24	416	16254
25	444	16654
26	472	17019
27	491	17077
28	507	16996
29	520	16833
30	529	16565
31	541	16368
32	552	16200
33	565	16078
34	573	15819
35	586	15714
36	599	15610
37	611	15474
38	623	15360
39	636	15268
40	653	15289
41	672	15337
42	689	15353
43	703	15289
44	717	15221
45	731	15164
46	740	15017
47	755	14983
48	769	14929
49	786	14937
50	804	14976
51	821	14982
52	837	14955
53	850	14899
54	885	15208
55	901	15192
56	919	15212
57	948	15402
58	985	15724
59	1022	16020
60	1067	16439
61	1092	16527
62	1114	16574
63	1134	16594
64	1151	16560
65	1167	16527
66	1183	16483
67	1199	16436
68	1214	16391
69	1223	16249
70	1236	16181
71	1250	16116
72	1263	16050
73	1274	15944
74	1285	15860
75	1323	16095
76	1356	16264
77	1381	16334
78	1412	16461
79	1443	16604
80	1472	16705
81	1504	16848
82	1523	16827
83	1543	16832
84	1591	17128
85	1608	17098
86	1644	17261
87	1662	17226
88	1694	17346
89	1713	17323
90	1727	17258
91	1818	17948
92	1840	17948
93	1896	18278
94	1916	18259
95	1938	18256
96	1989	18520
97	2010	18501
98	2028	18463
99	2056	18509
100	2075	18475
101	2087	18378
102	2098	18279
103	2110	18185
104	2122	18093
105	2132	17981
106	2142	17884
107	2152	17776
108	2165	17701
109	2177	17617
110	2189	17534
111	2199	17438
112	2211	17358
113	2222	17273
114	2231	17174
115	2247	17125
116	2261	17065
117	2275	17008
118	2287	16936
119	2297	16846
120	2309	16780
121	2321	16707
122	2331	16622
123	2346	16573
124	2361	16533
125	2377	16493
126	2398	16485
127	2435	16590
128	2462	16626
129	2492	16678
130	2523	16738
131	2554	16798
132	2586	16858
133	2620	16932
134	2638	16906
135	2655	16873
136	2674	16850
137	2696	16841
138	2738	16962
139	2757	16939
140	2775	16909
141	2789	16856
142	2802	16797
143	2814	16730
144	2827	16673
145	2837	16598
146	2849	16534
147	2860	16468
148	2871	16399
149	2885	16352
150	2899	16301
151	2920	16292
152	2932	16233
153	2944	16175
154	2954	16105
155	2967	16054
156	2980	16004
157	2996	15969
158	3012	15935
159	3031	15915
160	3045	15870
161	3056	15809
162	3065	15740
163	3076	15682
164	3093	15654
165	3109	15620
166	3118	15554
167	3131	15506
168	3142	15452
169	3152	15392
170	3162	15332
171	3174	15283
172	3185	15227
173	3195	15169
174	3207	15122
175	3220	15079
176	3231	15026
177	3244	14980
178	3254	14927
179	3264	14869
180	3275	14820
181	3286	14771
182	3302	14742
183	3315	14703
184	3340	14717
185	3355	14683
186	3369	14651
187	3384	14617
188	3398	14582
189	3423	14596
190	3444	14588
191	3472	14611
192	3504	14652
193	3542	14717
194	3573	14754
195	3592	14735
196	3606	14700
197	3624	14682
198	3640	14654
199	3653	14614
200	3667	14578
201	3679	14537
202	3689	14487
203	3701	14444
204	3713	14401
205	3731	14383
206	3748	14358
207	3759	14315
208	3770	14270
209	3781	14227
210	3793	14186
211	3803	14136
212	3814	14094
213	3833	14081
214	3851	14060
215	3865	14030
216	3882	14010
217	3894	13971
218	3905	13928
219	3939	13967
220	3961	13963
221	3978	13944
222	4006	13959
223	4017	13918
224	4039	13914
225	4057	13896
226	4072	13868
227	4083	13825
228	4099	13801
229	4112	13767
230	4127	13740
231	4142	13714
232	4164	13710
233	4185	13701
234	4196	13660
235	4210	13631
236	4225	13602
237	4239	13574
238	4251	13538
239	4262	13498
240	4272	13455
241	4285	13422
242	4296	13386
243	4306	13342
244	4317	13305
245	4329	13271
246	4342	13237
247	4355	13208
248	4369	13179
249	4390	13172
250	4410	13160
251	4426	13137
252	4446	13129
253	4461	13104
254	4474	13073
255	4485	13034
256	4497	13002
257	4509	12970
258	4520	12932
259	4531	12898
260	4545	12870
261	4560	12847
262	4572	12813
263	4591	12799
264	4607	12780
265	4622	12754
266	4634	12723
267	4649	12700
268	4664	12674
269	4678	12649
270	4692	12621
271	4706	12595
272	4716	12561
273	4733	12542
274	4750	12524
275	4761	12490
276	4774	12462
277	4791	12444
278	4810	12431
279	4831	12423
280	4848	12406
281	4865	12388
282	4880	12365
283	4895	12341
284	4906	12308
285	4916	12275
286	4927	12241
287	4937	12205
288	4949	12176
289	4963	12153
290	4977	12127
291	4987	12092
292	4999	12064
293	5016	12046
294	5033	12029
295	5046	12002
296	5061	11979
297	5071	11946
298	5083	11917
299	5097	11893
300	5110	11867
301	5121	11838
302	5133	11808
303	5145	11781
304	5157	11751
305	5167	11718
306	5179	11691
307	5191	11663
308	5206	11643
309	5219	11617
310	5232	11591
311	5244	11565
312	5257	11538
313	5269	11511
314	5280	11482
315	5294	11460
316	5308	11438
317	5325	11421
318	5340	11400
319	5353	11375
320	5368	11354
321	5377	11322
322	5388	11295
323	5400	11268
324	5410	11236
325	5428	11222
326	5440	11196
327	5496	11262
328	5514	11246
329	5529	11226
330	5556	11230
331	5576	11219
332	5601	11219
333	5618	11203
334	5661	11237
335	5681	11227
336	5732	11277
337	5777	11315
338	5799	11308
339	5827	11312
340	5850	11305
341	5912	11375
342	5937	11373
343	5955	11356
344	5970	11334
345	5979	11301
346	5990	11272
347	5998	11239
348	6010	11212
349	6026	11191
350	6036	11161
351	6046	11131
352	6058	11104
353	6069	11076
354	6079	11045
355	6090	11017
356	6101	10989
357	6116	10968
358	6131	10948
359	6144	10924
360	6156	10897
361	6167	10870
362	6177	10840
363	6188	10813
364	6199	10786
365	6209	10756
366	6223	10733
367	6234	10707
368	6246	10681
369	6257	10654
370	6270	10631
371	6288	10616
372	6309	10605
373	6336	10606
374	6368	10614
375	6396	10614
376	6413	10598
377	6456	10624
378	6488	10632
379	6514	10628
380	6530	10609
