Sr,Stroke No.,Date,Advance Time,Excavation per Stroke,Boring Energy,RPM,Torque,Thrust Force,Speed,Gripper Pressure,Total Revolution,Front Shield Pressure LHS,Front Shield Pressure RHS,Q-Value,Q-Value based,Penetration
81,4029,,29,1.3070101902173914,13.364266304347826,3.7241168478260867,1442.1195652173913,4110.364809782609,44.484375,201.03328804347825,107,55.19972826086956,57.81046195652174,3.730298913043478,3.7676630434782608,11.997961956521738
81,4029,2016-11-05,29,1.3070101902173914,13.364266304347826,3.7241168478260867,1442.1195652173913,4110.364809782609,44.484375,201.03328804347825,107,55.19972826086956,57.81046195652174,3.730298913043478,3.7676630434782608,11.997961956521738
1,3812,2016-01-23,16,1.612,1.3,2.3,500.0,3600.0,101.0,253.0,37,80.0,58.0,4.0,5.0,44.5
2,3813,2016-01-23,78,1.559,9.9,2.3,800.0,3224.0,20.0,242.0,179,60.0,62.0,4.0,4.0,8.6
3,3814,2016-01-23,43,0.901,9.3,2.0,900.0,2895.0,21.0,245.0,86,69.0,69.0,4.0,5.0,10.5
4,3815,2016-01-24,80,1.396,15.6,2.0,1300.0,2962.0,18.0,245.0,160,59.0,66.0,4.0,3.0,8.9
5,3816,2016-01-24,71,1.526,7.1,2.3,600.0,3709.0,21.0,456.0,163,75.0,78.0,4.0,5.0,9.4
6,3817,2016-01-25,37,0.909,11.4,2.4,1100.0,3866.0,25.0,322.0,89,74.0,58.0,4.0,4.0,10.3
1,3819,2016-05-02,58,1.406,6.3,2.0,700.0,3229.0,24.0,243.0,116,79.0,74.0,4.0,5.0,12.2
2,3820,2016-06-02,60,1.444,11.9,2.2,1200.0,3054.0,24.0,245.0,132,75.0,75.0,4.0,4.0,11.0
3,3821,2016-09-02,58,1.493,8.6,2.2,900.0,2809.0,25.0,243.0,128,71.0,75.0,4.0,5.0,11.7
4,3822,2016-10-02,61,1.513,10.9,2.2,1100.0,3397.0,24.0,244.0,134,71.0,65.0,4.0,4.0,11.2
5,3823,2016-12-02,64,1.524,9.5,2.1,1000.0,3674.0,24.0,244.0,134,71.0,56.0,4.0,4.0,11.3
6,3824,2016-12-02,58,1.392,8.3,2.3,800.0,2887.0,24.0,246.0,133,55.0,81.0,4.0,5.0,10.6
7,3825,2016-02-13,54,1.416,10.5,2.3,1100.0,3032.0,26.0,234.0,124,58.0,82.0,4.0,4.0,11.2
8,3826,2016-02-14,60,1.42,7.9,2.2,800.0,2566.0,24.0,223.0,132,68.0,79.0,4.0,5.0,10.8
9,3827,2016-02-14,58,1.39,9.4,2.1,1000.0,2596.0,24.0,215.0,122,50.0,63.0,4.0,5.0,11.4
10,3828,2016-02-15,52,1.442,9.3,2.4,1000.0,2830.0,28.0,225.0,125,66.0,70.0,4.0,5.0,11.8
11,3829,2016-02-15,37,1.005,9.7,2.2,1100.0,2707.0,27.0,245.0,81,77.0,80.0,4.0,4.0,12.4
12,3830,2016-02-16,67,1.407,8.6,2.1,800.0,2858.0,21.0,244.0,141,53.0,76.0,4.0,5.0,10.1
13,3831,2016-02-19,60,1.413,9.9,2.0,1100.0,3039.0,24.0,243.0,120,66.0,77.0,4.0,4.0,11.7
14,3832,2016-02-19,54,1.404,11.9,2.2,1300.0,3296.0,26.0,243.0,119,57.0,75.0,4.0,4.0,11.8
